{'id': 500001, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500002, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500003, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500004, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500005, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500006, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500007, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500008, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500009, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500010, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500011, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500012, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500013, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500014, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500015, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500016, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500017, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500018, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500019, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500020, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500021, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500022, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500023, 'value': 'DIRECT', 'test_case': 'EXIST2024'}
{'id': 500024, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500025, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500026, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500027, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500028, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500029, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500030, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500031, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500032, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500033, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500034, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500035, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500036, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500037, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500038, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500039, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500040, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500041, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500042, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500043, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500044, 'value': 'DIRECT', 'test_case': 'EXIST2024'}
{'id': 500045, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500046, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500047, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500048, 'value': 'DIRECT', 'test_case': 'EXIST2024'}
{'id': 500049, 'value': 'DIRECT', 'test_case': 'EXIST2024'}
{'id': 500050, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500051, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500052, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500053, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500054, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500055, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500056, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500057, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500058, 'value': 'DIRECT', 'test_case': 'EXIST2024'}
{'id': 500059, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500060, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500061, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500062, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500063, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500064, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500065, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500066, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500067, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500068, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500069, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500070, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500071, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500072, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500073, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500074, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500075, 'value': 'DIRECT', 'test_case': 'EXIST2024'}
{'id': 500076, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500077, 'value': 'DIRECT', 'test_case': 'EXIST2024'}
{'id': 500078, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500079, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500080, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500081, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500082, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500083, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500084, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500085, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500086, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500087, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500088, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500089, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500090, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500091, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500092, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500093, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500094, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500095, 'value': 'UNKNOWN', 'test_case': 'EXIST2024'}
{'id': 500096, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500097, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500098, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500099, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500100, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500101, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500102, 'value': 'DIRECT', 'test_case': 'EXIST2024'}
{'id': 500103, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500104, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500105, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500106, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500107, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500108, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500109, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500110, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500111, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500112, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500113, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500114, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500115, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500116, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500117, 'value': 'DIRECT', 'test_case': 'EXIST2024'}
{'id': 500118, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500119, 'value': 'DIRECT', 'test_case': 'EXIST2024'}
{'id': 500120, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500121, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500122, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500123, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500124, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500125, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500126, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500127, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500128, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500129, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500130, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500131, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500132, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500133, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500134, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500135, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500136, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500137, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500138, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500139, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500140, 'value': 'DIRECT', 'test_case': 'EXIST2024'}
{'id': 500141, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500142, 'value': 'DIRECT', 'test_case': 'EXIST2024'}
{'id': 500143, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500144, 'value': 'DIRECT', 'test_case': 'EXIST2024'}
{'id': 500145, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500146, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500147, 'value': 'DIRECT', 'test_case': 'EXIST2024'}
{'id': 500148, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500149, 'value': 'DIRECT', 'test_case': 'EXIST2024'}
{'id': 500150, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500151, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500152, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500153, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500154, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500155, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500156, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500157, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500158, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500159, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500160, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500161, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500162, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500163, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500164, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500165, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500166, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500167, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500168, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500169, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500170, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500171, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500172, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500173, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500174, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500175, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500176, 'value': 'DIRECT', 'test_case': 'EXIST2024'}
{'id': 500177, 'value': 'DIRECT', 'test_case': 'EXIST2024'}
{'id': 500178, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500179, 'value': 'DIRECT', 'test_case': 'EXIST2024'}
{'id': 500180, 'value': 'DIRECT', 'test_case': 'EXIST2024'}
{'id': 500181, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500182, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500183, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500184, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500185, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500186, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500187, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500188, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500189, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500190, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500191, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500192, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500193, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500194, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500195, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500196, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500197, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500198, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500199, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500200, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500201, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500202, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500203, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500204, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500205, 'value': 'DIRECT', 'test_case': 'EXIST2024'}
{'id': 500206, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500207, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500208, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500209, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500210, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500211, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500212, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500213, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500214, 'value': 'DIRECT', 'test_case': 'EXIST2024'}
{'id': 500215, 'value': 'DIRECT', 'test_case': 'EXIST2024'}
{'id': 500216, 'value': 'DIRECT', 'test_case': 'EXIST2024'}
{'id': 500217, 'value': 'DIRECT', 'test_case': 'EXIST2024'}
{'id': 500218, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500219, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500220, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500221, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500222, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500223, 'value': 'DIRECT', 'test_case': 'EXIST2024'}
{'id': 500224, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500225, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500226, 'value': 'DIRECT', 'test_case': 'EXIST2024'}
{'id': 500227, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500228, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500229, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500230, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500231, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500232, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500233, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500234, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500235, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500236, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500237, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500238, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500239, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500240, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500241, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500242, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500243, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500244, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500245, 'value': 'REPORTED', 'test_case': 'EXIST2024'}
{'id': 500246, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500247, 'value': 'DIRECT', 'test_case': 'EXIST2024'}
{'id': 500248, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500249, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
{'id': 500250, 'value': '-', 'test_case': 'EXIST2024'}
{'id': 500251, 'value': 'JUDGEMENTAL', 'test_case': 'EXIST2024'}
