{'id': 500001, 'value': ['STEREOTYPING-DOMINANCE'], 'test_case': 'EXIST2024'}
{'id': 500002, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500003, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500004, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500005, 'value': ['STEREOTYPING-DOMINANCE'], 'test_case': 'EXIST2024'}
{'id': 500006, 'value': ['STEREOTYPING-DOMINANCE'], 'test_case': 'EXIST2024'}
{'id': 500007, 'value': ['SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500008, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500009, 'value': ['SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500010, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500011, 'value': ['SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500012, 'value': ['SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500013, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500014, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500015, 'value': ['MISOGYNY-NON-SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500016, 'value': ['STEREOTYPING-DOMINANCE'], 'test_case': 'EXIST2024'}
{'id': 500017, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500018, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500019, 'value': ['MISOGYNY-NON-SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500020, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500021, 'value': ['-'], 'test_case': 'EXIST2024'}
{'id': 500022, 'value': ['MISOGYNY-NON-SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500023, 'value': ['SEXUAL-VIOLENCE'], 'test_case': 'EXIST2024'}
{'id': 500024, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500025, 'value': ['IDEOLOGICAL-INEQUALITY'], 'test_case': 'EXIST2024'}
{'id': 500026, 'value': ['STEREOTYPING-DOMINANCE'], 'test_case': 'EXIST2024'}
{'id': 500027, 'value': ['-'], 'test_case': 'EXIST2024'}
